Observation id,Observation date,Description,Observation duration,Observation type,Source,Time offset (s),Media duration (s),FPS,Subject,Behavior,Behavioral category,Modifier #1,Modifier #2,Behavior type,Time,Media file name,Image index,Image file path,Comment
CM31_TestPart1_h2o_11,2024-03-05 13:25:23,,3.800,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_11.avi,0.0,6.000,30.000,,trial start,,None,mixed view,POINT,1.433,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_11.avi,43,NA,
CM31_TestPart1_h2o_11,2024-03-05 13:25:23,,3.800,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_11.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,START,1.567,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_11.avi,47,NA,
CM31_TestPart1_h2o_11,2024-03-05 13:25:23,,3.800,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_11.avi,0.0,6.000,30.000,,gape,,,,START,1.700,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_11.avi,51,NA,
CM31_TestPart1_h2o_11,2024-03-05 13:25:23,,3.800,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_11.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,STOP,1.700,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_11.avi,51,NA,
CM31_TestPart1_h2o_11,2024-03-05 13:25:23,,3.800,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_11.avi,0.0,6.000,30.000,,gape,,,,STOP,1.900,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_11.avi,57,NA,
CM31_TestPart1_h2o_11,2024-03-05 13:25:23,,3.800,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_11.avi,0.0,6.000,30.000,,gape,,,,START,1.933,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_11.avi,58,NA,
CM31_TestPart1_h2o_11,2024-03-05 13:25:23,,3.800,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_11.avi,0.0,6.000,30.000,,gape,,,,STOP,2.067,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_11.avi,62,NA,
CM31_TestPart1_h2o_11,2024-03-05 13:25:23,,3.800,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_11.avi,0.0,6.000,30.000,,gape,,,,START,2.133,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_11.avi,64,NA,
CM31_TestPart1_h2o_11,2024-03-05 13:25:23,,3.800,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_11.avi,0.0,6.000,30.000,,gape,,,,STOP,2.233,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_11.avi,67,NA,
CM31_TestPart1_h2o_11,2024-03-05 13:25:23,,3.800,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_11.avi,0.0,6.000,30.000,,gape,,,,START,2.267,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/water_trial_11.avi,68,NA,
