Observation id,Observation date,Description,Observation duration,Observation type,Source,Time offset (s),Media duration (s),FPS,Subject,Behavior,Behavioral category,Modifier #1,Modifier #2,Behavior type,Time,Media file name,Image index,Image file path,Comment
CM31_TestPart1_qhcl_1,2024-02-23 11:29:43,,4.167,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/quinine_trial_1.avi,0.0,6.000,30.000,,trial start,,1,mixed view,POINT,1.433,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/quinine_trial_1.avi,43,NA,
CM31_TestPart1_qhcl_1,2024-02-23 11:29:43,,4.167,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/quinine_trial_1.avi,0.0,6.000,30.000,,gape,,,,START,1.733,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/quinine_trial_1.avi,52,NA,
CM31_TestPart1_qhcl_1,2024-02-23 11:29:43,,4.167,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/quinine_trial_1.avi,0.0,6.000,30.000,,gape,,,,STOP,1.867,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/quinine_trial_1.avi,56,NA,
CM31_TestPart1_qhcl_1,2024-02-23 11:29:43,,4.167,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/quinine_trial_1.avi,0.0,6.000,30.000,,gape,,,,START,1.933,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/quinine_trial_1.avi,58,NA,
CM31_TestPart1_qhcl_1,2024-02-23 11:29:43,,4.167,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/quinine_trial_1.avi,0.0,6.000,30.000,,gape,,,,STOP,2.067,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/quinine_trial_1.avi,62,NA,
CM31_TestPart1_qhcl_1,2024-02-23 11:29:43,,4.167,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/quinine_trial_1.avi,0.0,6.000,30.000,,gape,,,,START,2.133,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/quinine_trial_1.avi,64,NA,
CM31_TestPart1_qhcl_1,2024-02-23 11:29:43,,4.167,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/quinine_trial_1.avi,0.0,6.000,30.000,,gape,,,,STOP,2.267,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/quinine_trial_1.avi,68,NA,
CM31_TestPart1_qhcl_1,2024-02-23 11:29:43,,4.167,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/quinine_trial_1.avi,0.0,6.000,30.000,,gape,,,,START,2.300,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/quinine_trial_1.avi,69,NA,
CM31_TestPart1_qhcl_1,2024-02-23 11:29:43,,4.167,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/quinine_trial_1.avi,0.0,6.000,30.000,,gape,,,,STOP,2.367,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/quinine_trial_1.avi,71,NA,
CM31_TestPart1_qhcl_1,2024-02-23 11:29:43,,4.167,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/quinine_trial_1.avi,0.0,6.000,30.000,,gape,,,,START,2.467,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/quinine_trial_1.avi,74,NA,
CM31_TestPart1_qhcl_1,2024-02-23 11:29:43,,4.167,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/quinine_trial_1.avi,0.0,6.000,30.000,,gape,,,,STOP,2.600,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/quinine_trial_1.avi,78,NA,
CM31_TestPart1_qhcl_1,2024-02-23 11:29:43,,4.167,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/quinine_trial_1.avi,0.0,6.000,30.000,,gape,,,,START,2.700,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/quinine_trial_1.avi,81,NA,
CM31_TestPart1_qhcl_1,2024-02-23 11:29:43,,4.167,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/quinine_trial_1.avi,0.0,6.000,30.000,,gape,,,,STOP,2.833,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/quinine_trial_1.avi,85,NA,
CM31_TestPart1_qhcl_1,2024-02-23 11:29:43,,4.167,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/quinine_trial_1.avi,0.0,6.000,30.000,,gape,,,,START,2.967,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/quinine_trial_1.avi,89,NA,
CM31_TestPart1_qhcl_1,2024-02-23 11:29:43,,4.167,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/quinine_trial_1.avi,0.0,6.000,30.000,,gape,,,,STOP,3.100,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/quinine_trial_1.avi,93,NA,
CM31_TestPart1_qhcl_1,2024-02-23 11:29:43,,4.167,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/quinine_trial_1.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,START,4.233,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/quinine_trial_1.avi,127,NA,
CM31_TestPart1_qhcl_1,2024-02-23 11:29:43,,4.167,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/quinine_trial_1.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,STOP,4.300,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/quinine_trial_1.avi,129,NA,
CM31_TestPart1_qhcl_1,2024-02-23 11:29:43,,4.167,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/quinine_trial_1.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,START,4.733,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/quinine_trial_1.avi,142,NA,
CM31_TestPart1_qhcl_1,2024-02-23 11:29:43,,4.167,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/quinine_trial_1.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,STOP,4.867,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/quinine_trial_1.avi,146,NA,
