Observation id,Observation date,Description,Observation duration,Observation type,Source,Time offset (s),Media duration (s),FPS,Subject,Behavior,Behavioral category,Modifier #1,Modifier #2,Behavior type,Time,Media file name,Image index,Image file path,Comment
CM31_TestPart1_sac_7,2024-02-23 13:06:35,,4.333,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/saccharin_trial_7.avi,0.0,6.000,30.000,,trial start,,None,in view,POINT,1.400,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/saccharin_trial_7.avi,42,NA,
CM31_TestPart1_sac_7,2024-02-23 13:06:35,,4.333,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/saccharin_trial_7.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,START,1.533,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/saccharin_trial_7.avi,46,NA,
CM31_TestPart1_sac_7,2024-02-23 13:06:35,,4.333,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/saccharin_trial_7.avi,0.0,6.000,30.000,,mouth or tongue movement,,mouth movement,,STOP,1.633,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/saccharin_trial_7.avi,49,NA,
CM31_TestPart1_sac_7,2024-02-23 13:06:35,,4.333,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/saccharin_trial_7.avi,0.0,6.000,30.000,,gape,,,,START,1.700,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/saccharin_trial_7.avi,51,NA,
CM31_TestPart1_sac_7,2024-02-23 13:06:35,,4.333,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/saccharin_trial_7.avi,0.0,6.000,30.000,,gape,,,,STOP,1.867,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/saccharin_trial_7.avi,56,NA,
CM31_TestPart1_sac_7,2024-02-23 13:06:35,,4.333,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/saccharin_trial_7.avi,0.0,6.000,30.000,,gape,,,,START,1.900,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/saccharin_trial_7.avi,57,NA,
CM31_TestPart1_sac_7,2024-02-23 13:06:35,,4.333,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/saccharin_trial_7.avi,0.0,6.000,30.000,,gape,,,,STOP,2.033,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/saccharin_trial_7.avi,61,NA,
CM31_TestPart1_sac_7,2024-02-23 13:06:35,,4.333,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/saccharin_trial_7.avi,0.0,6.000,30.000,,gape,,,,START,2.100,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/saccharin_trial_7.avi,63,NA,
CM31_TestPart1_sac_7,2024-02-23 13:06:35,,4.333,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/saccharin_trial_7.avi,0.0,6.000,30.000,,gape,,,,STOP,2.267,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/saccharin_trial_7.avi,68,NA,
CM31_TestPart1_sac_7,2024-02-23 13:06:35,,4.333,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/saccharin_trial_7.avi,0.0,6.000,30.000,,gape,,,,START,2.300,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/saccharin_trial_7.avi,69,NA,
CM31_TestPart1_sac_7,2024-02-23 13:06:35,,4.333,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/saccharin_trial_7.avi,0.0,6.000,30.000,,gape,,,,STOP,2.433,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/saccharin_trial_7.avi,73,NA,
CM31_TestPart1_sac_7,2024-02-23 13:06:35,,4.333,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/saccharin_trial_7.avi,0.0,6.000,30.000,,gape,,,,START,2.500,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/saccharin_trial_7.avi,75,NA,
CM31_TestPart1_sac_7,2024-02-23 13:06:35,,4.333,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/saccharin_trial_7.avi,0.0,6.000,30.000,,gape,,,,STOP,2.600,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/saccharin_trial_7.avi,78,NA,
CM31_TestPart1_sac_7,2024-02-23 13:06:35,,4.333,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/saccharin_trial_7.avi,0.0,6.000,30.000,,gape,,,,START,2.667,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/saccharin_trial_7.avi,80,NA,
CM31_TestPart1_sac_7,2024-02-23 13:06:35,,4.333,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/saccharin_trial_7.avi,0.0,6.000,30.000,,gape,,,,STOP,2.733,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/saccharin_trial_7.avi,82,NA,
CM31_TestPart1_sac_7,2024-02-23 13:06:35,,4.333,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/saccharin_trial_7.avi,0.0,6.000,30.000,,gape,,,,START,2.833,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/saccharin_trial_7.avi,85,NA,
CM31_TestPart1_sac_7,2024-02-23 13:06:35,,4.333,Media file(s),player #1:/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/saccharin_trial_7.avi,0.0,6.000,30.000,,gape,,,,STOP,2.933,/media/cmazzio/large_data/Videos/CM31_videos/CTA_Test_part1/saccharin_trial_7.avi,88,NA,
